ENEM 2024,,,,,,,,,,,
Linguagens,,,Humanas ,,,Natureza ,,,Matemática ,,
Antes Visuais ,,1,Interpretação de Texto ,,20,Interpretação de Texto ,,13,Raciocínio Lógico ,,25
Musica ,,0,Pré-história,,0,Origem da Vida,,0,Conjuntos ,,0
Artes Cênicas ,,0,Antiguidade Oriental ,,0,Bioquímica ,,0,Funções ,,2
Humanismo ,,0,Antiguidade Clássica,,0,Citologia ,,2,Progressões ,,1
Classicismo ,,0,Idade Média ,,1,Histológia ,,1,Matemática Financeira ,,0
Quinhentismo,,0,Idade Moderna ,,2,Reprodução Humana ,,0,Trigonometria ,,1
Barroco,,0,Idade Contemporânea ,,2,Embriologia ,,0,Álgebra Linear,,0
Arcadismo,,0,História do Brasil ,,1,Seres Vivos ,,2,Razão é proporção ,,1
Romantismo,,1,História da América Latina ,,1,Meio Ambiente ,,0,Modelagem Algébrica ,,2
Realismo,,0,Filosofia Antiga ,,1,Doenças,,0,Análise Combinatória ,,1
Naturalismo,,0,Filosofia Medieval,,0,Botânica ,,0,Probabilidade ,,4
Parnasianismo ,,0,Filosofia do Renascimento ,,0,Zoologia ,,2,Estatística ,,2
Simbolismo,,0,Filosofia Moderna ,,0,Anatomia e Fisiologia Humana,,1,Geometria ,,6
Pré-Modernismo,,0,Filosofia Contemporânea ,,2,Genética ,,2,Polinômios ,,0
Modernismo ,,0,Cartografia ,,1,Evolução ,,1,Total,,45
Pós-Modernismo ,,0,Estrutura Geológica,,1,Ecologia ,,3,,,
Literatura Portuguesa ,,0,Formas de Relevo,,1,Cinemática ,,3,,,
Literatura Brasileira ,,1,Solo,,0,Dinâmica ,,0,,,
Pragmática,,0,Mineração ,,0,Energia Mecânica ,,0,,,
Morfologia ,,0,Clima ,,1,Gravitação Universal ,,0,,,
Sintaxe ,,0,Hidrográfia ,,0,Estática,,0,,,
Pontuação ,,0,Biogeografia ,,0,Hidrostática ,,0,,,
Estilística,,4,Preservação Ambiental ,,1,Hidrodinâmica ,,0,,,
Interpretação de Texto ,,38,Globalização ,,0,Termologia ,,2,,,
Fonologia ,,0,Geopolítica ,,1,Óptica Geométrica ,,0,,,
Total ,,45,Conflitos Armados ,,0,Ondulatória ,,2,,,
,,,Indústria ,,0,Eletrostática ,,0,,,
,,,Energia ,,0,Eletrodinâmica ,,2,,,
,,,Redes de Transporte ,,1,Eletromagnetismo ,,0,,,
,,,Demografia ,,0,Física Moderna ,,0,,,
,,,Urbanização ,,0,Análise Dimensional ,,0,,,
,,,Regionalização do Brasil ,,0,PH,,1,,,
,,,Agropecuária ,,0,Propriedades da Matéria ,,1,,,
,,,Teoria Sociológica ,,0,Separação de Misturas ,,1,,,
,,,Sociologia Jurídica ,,0,Atomistica ,,1,,,
,,,Sociologia  no Brasil ,,0,Tabela Periódica ,,0,,,
,,,Etnologia ,,3,Ligações Químicas ,,0,,,
,,,Antropologia ,,0,Química Inorgânica,,1,,,
,,,"Desigualdade, Redes Sociais e Comunicação ",,1,Estequiometria ,,2,,,
,,,Espaços Urbanos ,,1,Termoquimica,,0,,,
,,,Meio Ambiente e Sociedade ,,0,Soluções ,,0,,,
,,,Cidadania e Movimentos Sociais ,,2,Cinética Química ,,0,,,
,,,"Política,  Poder e Estado",,1,Equilíbrio Químico ,,0,,,
,,,"Trabalho,  Produção e Classes Sociais ",,0,Oxirredução,,0,,,
,,,Total ,,45,Eletroquímica ,,0,,,
,,,,,,Gases ,,0,,,
,,,,,,Química Orgânica ,,2,,,
,,,,,,Química Nuclear ,,0,,,
,,,,,,Química Ambiental ,,0,,,
,,,,,,Total ,,45,,,
